Symbols,SystemInstrument,Fortrade,GCM
GBP_AUD,_t -> EntityPartVariableSpread; MinSpread -> 40; MaxSpread -> -1; BidMarkup -> -5; AskMarkup -> 5; ,_t -> EntityPartVariableSpread; MinSpread -> 30; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default
EUR_USD,_t -> EntityPartVariableSpread; MinSpread -> 3; MaxSpread -> -1; BidMarkup -> -1; AskMarkup -> 2; ,_t -> EntityPartVariableSpread; MinSpread -> 15; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default
GBP_SGD,_t -> EntityPartVariableSpread; MinSpread -> 700; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,_t -> EntityPartVariableSpread; MinSpread -> 700; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default
GBP_USD,_t -> EntityPartVariableSpread; MinSpread -> 6; MaxSpread -> -1; BidMarkup -> -3; AskMarkup -> 4; ,_t -> EntityPartVariableSpread; MinSpread -> 15; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default
EUR_ILS,_t -> EntityPartVariableSpread; MinSpread -> 600; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,_t -> EntityPartVariableSpread; MinSpread -> 1600; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default
CAD_JPY,_t -> EntityPartVariableSpread; MinSpread -> 0; MaxSpread -> -1; BidMarkup -> -5; AskMarkup -> 5; ,_t -> EntityPartVariableSpread; MinSpread -> 40; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default
EUR_HUF,_t -> EntityPartVariableSpread; MinSpread -> 750; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,_t -> EntityPartVariableSpread; MinSpread -> 750; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default
GAU_TRY - Panda,_t -> EntityPartVariableSpread; MinSpread -> 0; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default,Use SystemInstrumet Default
GBP_NZD,_t -> EntityPartVariableSpread; MinSpread -> 40; MaxSpread -> -1; BidMarkup -> -5; AskMarkup -> 5; ,_t -> EntityPartVariableSpread; MinSpread -> 60; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default
USD_CNH,_t -> EntityPartVariableSpread; MinSpread -> 500; MaxSpread -> -1; BidMarkup -> -200; AskMarkup -> 200; ,_t -> EntityPartVariableSpread; MinSpread -> 450; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default
XAU_EUR-Panda,_t -> EntityPartVariableSpread; MinSpread -> 100; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default,Use SystemInstrumet Default
NZD_CAD,_t -> EntityPartVariableSpread; MinSpread -> 40; MaxSpread -> -1; BidMarkup -> -5; AskMarkup -> 5; ,_t -> EntityPartVariableSpread; MinSpread -> 35; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default
USD_PLN,_t -> EntityPartVariableSpread; MinSpread -> 450; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,_t -> EntityPartVariableSpread; MinSpread -> 450; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default
GBP_TRY,_t -> EntityPartVariableSpread; MinSpread -> 150; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,_t -> EntityPartVariableSpread; MinSpread -> 500; MaxSpread -> -1; BidMarkup -> 0; AskMarkup -> 0; ,Use SystemInstrumet Default
